Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure RHS,Q-Value,Q-Value based,Penetration
86,3570,2016-05-14,26,1.502,17.4,4.0,2300.0,5525.0,57.0,190.0,104,62.0,77.0,3.0,3.0,14.1
87,3571,2016-05-14,28,1.682,16.4,4.0,2200.0,5245.0,58.0,187.0,112,77.0,76.0,3.0,3.0,14.5
88,3572,2016-05-14,26,1.522,12.1,4.2,1500.0,3571.0,56.0,187.0,109,67.0,64.0,3.0,4.0,13.4
89,3573,2016-05-14,27,1.522,11.3,4.2,1400.0,3402.0,56.0,188.0,113,33.0,77.0,3.0,4.0,13.4
90,3574,2016-05-14,29,1.526,9.2,4.1,1100.0,3006.0,53.0,188.0,119,42.0,68.0,3.0,5.0,12.9
91,3575,2016-05-14,27,1.523,9.0,3.8,1200.0,3546.0,55.0,189.0,103,34.0,71.0,3.0,5.0,14.5
92,3576,2016-05-14,28,1.522,10.9,3.9,1400.0,3602.0,54.0,187.0,109,67.0,79.0,3.0,4.0,13.8
93,3577,2016-05-15,27,1.54,12.6,4.0,1600.0,3525.0,55.0,187.0,108,69.0,75.0,3.0,4.0,14.0
94,3578,2016-05-15,27,1.517,10.2,4.0,1300.0,3395.0,55.0,188.0,108,66.0,81.0,3.0,4.0,14.0
95,3579,2016-05-15,30,1.71,10.8,4.0,1400.0,3495.0,56.0,190.0,120,77.0,85.0,3.0,4.0,14.0
96,3580,2016-05-15,28,1.525,8.4,4.2,1000.0,3170.0,54.0,189.0,118,75.0,75.0,3.0,5.0,12.9
97,3581,2016-05-15,28,1.523,8.4,4.2,1000.0,3335.0,54.0,189.0,118,59.0,66.0,3.0,5.0,12.9
98,3582,2016-05-15,29,1.521,10.5,4.2,1200.0,3245.0,52.0,189.0,122,44.0,66.0,3.0,4.0,12.4
99,3583,2016-05-16,22,1.221,11.7,4.1,1400.0,3676.0,53.0,188.0,90,70.0,54.0,3.0,4.0,13.0
100,3584,2016-05-16,23,1.232,13.0,4.8,1300.0,4153.0,52.0,187.0,110,69.0,81.0,3.0,4.0,10.9
101,3585,2016-05-16,22,1.233,10.6,4.4,1200.0,3596.0,54.0,192.0,97,60.0,82.0,3.0,4.0,12.3
102,3586,2016-05-16,21,1.23,10.0,4.0,1300.0,3349.0,56.0,189.0,84,49.0,84.0,3.0,4.0,13.9
103,3587,2016-05-16,23,1.373,12.6,4.3,1600.0,4223.0,59.0,190.0,99,66.0,86.0,4.0,4.0,13.6
104,3588,2016-05-16,22,1.223,10.1,4.2,1200.0,4004.0,54.0,191.0,92,48.0,78.0,4.0,4.0,12.9
105,3589,2016-05-16,24,1.226,11.6,4.2,1300.0,4470.0,51.0,189.0,101,38.0,86.0,4.0,4.0,12.1
106,3590,2016-05-16,23,1.226,15.4,4.2,1800.0,4982.0,53.0,191.0,97,47.0,66.0,4.0,3.0,12.6
107,3591,2016-05-16,24,1.232,15.4,4.2,1700.0,5072.0,50.0,190.0,101,52.0,64.0,4.0,3.0,11.9
108,3592,2016-05-16,27,1.244,17.2,4.2,1700.0,7236.0,45.0,189.0,113,77.0,72.0,4.0,3.0,10.8
109,3593,2016-05-17,28,1.222,22.1,4.4,2000.0,8239.0,43.0,190.0,123,71.0,75.0,4.0,2.0,9.7
110,3594,2016-05-17,29,1.269,25.4,4.6,2200.0,7591.0,43.0,190.0,133,50.0,50.0,4.0,2.0,9.3
111,3595,2016-05-17,26,1.276,26.3,4.6,2600.0,7653.0,49.0,190.0,120,57.0,70.0,4.0,2.0,10.5
112,3596,2016-05-17,25,1.387,26.2,4.3,3100.0,7133.0,55.0,190.0,108,60.0,70.0,4.0,2.0,12.7
113,3597,2016-05-17,20,1.1,21.1,4.4,2400.0,6811.0,54.0,192.0,88,67.0,69.0,4.0,2.0,12.1
114,3598,2016-05-17,23,1.225,23.4,4.6,2400.0,7225.0,51.0,191.0,106,78.0,43.0,4.0,2.0,11.2
115,3599,2016-05-17,24,1.238,24.7,4.4,2700.0,6928.0,52.0,189.0,106,56.0,68.0,4.0,2.0,11.7
116,3600,2016-05-17,26,1.26,28.0,4.3,2900.0,8053.0,48.0,191.0,112,57.0,87.0,4.0,2.0,11.0
117,3601,2016-05-18,26,1.246,28.1,5.2,2300.0,7196.0,46.0,195.0,135,74.0,68.0,4.0,2.0,9.0
118,3602,2016-05-18,35,1.562,22.1,5.3,1700.0,7969.0,44.0,217.0,186,82.0,52.0,4.0,2.0,8.4
119,3603,2016-05-18,23,1.225,14.6,4.3,1600.0,6273.0,51.0,216.0,99,66.0,69.0,4.0,3.0,12.0
120,3604,2016-05-18,23,1.232,14.0,4.3,1600.0,4482.0,53.0,218.0,99,58.0,58.0,4.0,3.0,12.4
121,3605,2016-05-19,24,1.225,13.0,4.0,1500.0,4284.0,50.0,217.0,96,77.0,56.0,4.0,4.0,12.5
122,3606,2016-05-19,23,1.206,14.0,4.2,1600.0,4588.0,52.0,189.0,97,59.0,68.0,4.0,3.0,12.6
123,3607,2016-05-19,22,1.246,12.4,4.0,1600.0,4521.0,56.0,191.0,88,57.0,84.0,4.0,4.0,13.8
124,3608,2016-05-19,25,1.381,13.0,4.0,1600.0,3992.0,53.0,190.0,100,72.0,72.0,4.0,4.0,13.5
125,3609,2016-05-19,23,1.235,14.0,4.3,1600.0,4180.0,53.0,188.0,99,64.0,60.0,4.0,3.0,12.5
126,3610,2016-05-19,22,1.244,15.7,4.3,1900.0,4127.0,56.0,192.0,95,44.0,67.0,4.0,3.0,13.1
127,3611,2016-05-19,21,1.245,13.6,4.3,1700.0,4701.0,58.0,190.0,90,83.0,87.0,4.0,3.0,13.6
128,3612,2016-05-19,21,1.241,13.6,4.3,1700.0,6286.0,58.0,190.0,90,71.0,65.0,4.0,3.0,13.3
129,3613,2016-05-19,21,1.228,14.4,4.4,1700.0,5444.0,56.0,189.0,92,71.0,77.0,4.0,3.0,12.9
130,3614,2016-05-19,21,1.214,14.2,4.4,1700.0,6155.0,57.0,189.0,92,82.0,48.0,4.0,3.0,13.0
131,3615,2016-05-20,21,1.251,15.0,4.4,1800.0,6495.0,57.0,191.0,92,85.0,61.0,4.0,3.0,13.0
132,3616,2016-05-20,22,1.233,15.7,4.6,1700.0,5758.0,54.0,189.0,101,84.0,61.0,4.0,3.0,11.7
133,3617,2016-05-20,33,1.734,15.2,4.3,1700.0,6923.0,52.0,190.0,142,70.0,65.0,4.0,2.0,12.0
134,3618,2016-05-20,26,1.194,17.4,4.1,1800.0,8183.0,46.0,189.0,107,84.0,83.0,4.0,2.0,11.2
135,3619,2016-05-20,29,1.224,19.9,4.3,1800.0,8159.0,42.0,217.0,125,55.0,69.0,4.0,2.0,9.8
136,3620,2016-05-20,27,1.228,17.5,4.3,1700.0,5414.0,45.0,217.0,116,65.0,65.0,4.0,2.0,10.4
137,3621,2016-05-21,25,1.24,16.3,4.1,1800.0,4623.0,49.0,218.0,103,63.0,66.0,4.0,3.0,12.0
138,3622,2016-05-21,23,1.248,17.9,4.3,2000.0,5600.0,52.0,190.0,99,70.0,77.0,4.0,2.0,12.3
139,3623,2016-05-21,32,1.503,17.9,4.5,1700.0,4722.0,46.0,191.0,144,78.0,70.0,4.0,2.0,10.2
140,3624,2016-05-21,24,1.223,12.7,4.1,1400.0,4009.0,49.0,190.0,98,62.0,65.0,4.0,4.0,12.2
141,3625,2016-05-21,24,1.224,13.0,4.3,1400.0,3832.0,50.0,192.0,103,44.0,65.0,4.0,4.0,11.7
142,3626,2016-05-21,23,1.226,9.8,4.3,1100.0,3870.0,52.0,190.0,99,37.0,75.0,4.0,4.0,12.0
143,3627,2016-05-21,23,1.226,10.3,4.2,1200.0,3894.0,53.0,189.0,97,53.0,72.0,4.0,4.0,12.6
144,3628,2016-05-21,22,1.248,10.6,4.5,1200.0,3842.0,55.0,189.0,99,59.0,82.0,4.0,4.0,12.0
145,3629,2016-05-22,22,1.207,13.1,4.3,1500.0,4219.0,53.0,189.0,95,80.0,81.0,4.0,4.0,12.5
146,3630,2016-05-22,29,1.298,13.7,4.3,1300.0,4132.0,44.0,188.0,125,79.0,60.0,4.0,3.0,10.2
147,3631,2016-05-22,24,1.292,13.6,4.1,1600.0,4527.0,52.0,188.0,98,69.0,65.0,4.0,3.0,12.7
148,3632,2016-05-22,26,1.44,12.8,4.0,1600.0,4340.0,54.0,188.0,104,75.0,80.0,4.0,4.0,13.4
149,3633,2016-05-22,24,1.224,13.3,4.2,1500.0,4675.0,51.0,197.0,101,82.0,80.0,4.0,4.0,12.2
150,3634,2016-05-22,24,1.189,12.5,3.7,1500.0,4270.0,48.0,199.0,89,69.0,64.0,4.0,4.0,12.8
151,3635,2016-05-22,26,1.226,12.2,3.7,1400.0,4342.0,46.0,198.0,96,63.0,85.0,4.0,4.0,12.4
152,3636,2016-05-22,22,1.174,10.7,4.2,1200.0,4406.0,51.0,190.0,92,52.0,82.0,4.0,4.0,12.3
153,3637,2016-05-22,24,1.268,11.4,4.0,1400.0,4672.0,53.0,189.0,96,74.0,67.0,4.0,4.0,13.2
154,3638,2016-05-23,24,1.279,12.5,4.0,1500.0,4838.0,52.0,189.0,96,83.0,60.0,4.0,4.0,13.1
155,3639,2016-05-23,27,1.399,14.4,4.0,1700.0,4306.0,51.0,187.0,108,77.0,55.0,4.0,3.0,12.7
156,3640,2016-05-23,22,1.228,8.9,4.2,1100.0,3859.0,56.0,187.0,92,64.0,56.0,4.0,5.0,13.2
157,3641,2016-05-23,22,1.231,10.5,4.2,1300.0,3887.0,56.0,188.0,92,59.0,56.0,4.0,4.0,13.2
158,3642,2016-05-23,22,1.224,14.3,4.2,1700.0,4069.0,54.0,189.0,92,53.0,60.0,4.0,3.0,12.8
159,3643,2016-05-23,21,1.23,15.1,4.2,1900.0,4233.0,57.0,190.0,88,69.0,61.0,4.0,3.0,13.5
160,3644,2016-05-24,22,1.261,12.4,4.2,1500.0,3493.0,55.0,191.0,92,74.0,63.0,4.0,4.0,13.0
161,3645,2016-05-24,23,1.285,14.9,4.4,1700.0,3818.0,54.0,191.0,101,72.0,81.0,4.0,3.0,12.3
162,3646,2016-05-24,25,1.348,14.3,4.4,1600.0,3907.0,53.0,191.0,110,66.0,77.0,4.0,3.0,12.1
163,3647,2016-05-24,27,1.415,14.3,4.3,1600.0,4252.0,52.0,189.0,116,55.0,81.0,4.0,3.0,12.0
164,3648,2016-05-24,26,1.223,13.8,4.2,1400.0,4569.0,46.0,193.0,109,62.0,77.0,4.0,3.0,11.0
165,3649,2016-05-24,25,1.239,18.0,4.3,1900.0,4938.0,49.0,188.0,108,72.0,70.0,4.0,2.0,11.3
166,3650,2016-05-24,29,1.229,17.9,4.1,1700.0,4823.0,42.0,189.0,119,64.0,62.0,4.0,2.0,10.2
167,3651,2016-05-24,28,1.262,15.7,4.1,1600.0,4806.0,45.0,190.0,115,56.0,80.0,4.0,3.0,11.0
168,3652,2016-05-25,28,1.286,14.8,4.1,1500.0,4653.0,45.0,190.0,115,78.0,79.0,4.0,3.0,11.1
169,3653,2016-05-25,25,1.284,13.0,4.1,1500.0,4434.0,51.0,191.0,103,66.0,77.0,4.0,4.0,12.3
170,3654,2016-05-25,29,1.523,11.9,4.4,1300.0,4196.0,52.0,188.0,128,66.0,73.0,4.0,4.0,12.0
171,3655,2016-05-25,18,1.114,12.4,4.6,1500.0,4522.0,60.0,190.0,83,64.0,73.0,4.0,4.0,13.1
172,3656,2016-05-25,27,1.387,10.6,4.1,1200.0,3943.0,50.0,190.0,111,57.0,67.0,4.0,4.0,12.3
173,3657,2016-05-25,24,1.239,9.6,4.1,1100.0,3594.0,51.0,187.0,98,52.0,62.0,4.0,4.0,12.6
174,3658,2016-05-25,23,1.225,10.4,4.1,1200.0,3885.0,51.0,190.0,94,61.0,61.0,4.0,4.0,12.5
175,3659,2016-05-25,25,1.235,10.3,3.9,1200.0,3488.0,49.0,190.0,98,74.0,58.0,4.0,4.0,12.5
176,3660,2016-05-25,27,1.486,12.0,4.0,1500.0,3511.0,54.0,189.0,108,79.0,49.0,4.0,4.0,13.5
177,3661,2016-05-26,25,1.525,11.3,4.4,1400.0,4456.0,59.0,188.0,110,86.0,61.0,3.0,4.0,13.3
178,3662,2016-05-26,28,1.545,11.5,4.4,1300.0,4582.0,54.0,190.0,123,65.0,69.0,3.0,4.0,12.1
179,3663,2016-05-26,28,1.555,10.5,4.1,1300.0,5152.0,55.0,187.0,115,77.0,84.0,3.0,4.0,13.6
180,3664,2016-05-26,29,1.508,9.8,4.2,1100.0,4650.0,51.0,189.0,122,55.0,84.0,3.0,4.0,12.1
181,3665,2016-05-26,21,1.13,9.3,3.8,1200.0,3461.0,53.0,191.0,80,59.0,74.0,3.0,5.0,13.9
182,3666,2016-05-26,8,0.465,7.9,3.8,1000.0,3188.0,52.0,190.0,30,63.0,73.0,3.0,5.0,13.7
183,3667,2016-05-26,27,1.533,9.2,3.9,1200.0,3566.0,55.0,195.0,105,63.0,66.0,3.0,5.0,14.1
184,3668,2016-05-26,30,1.54,9.3,4.0,1100.0,3372.0,51.0,190.0,120,66.0,71.0,3.0,5.0,12.7
185,3669,2016-05-27,22,1.108,9.0,4.1,1000.0,3345.0,49.0,190.0,90,52.0,80.0,3.0,5.0,12.0
186,3670,2016-05-27,29,1.538,10.5,4.2,1200.0,4226.0,52.0,191.0,122,60.0,87.0,3.0,4.0,12.5
187,3671,2016-05-27,0,0.005,10.2,4.2,1100.0,1491.0,49.0,187.0,0,63.0,84.0,3.0,4.0,2.2
188,3672,2016-05-27,29,1.657,9.4,4.4,1100.0,4357.0,56.0,189.0,128,73.0,68.0,3.0,5.0,12.9
189,3673,2016-05-27,25,1.23,7.8,3.9,900.0,4021.0,49.0,185.0,98,71.0,55.0,3.0,5.0,12.4
190,3674,2016-05-27,23,1.211,8.9,4.2,1000.0,3284.0,51.0,188.0,97,70.0,51.0,3.0,5.0,12.3
191,3675,2016-05-27,26,1.233,11.6,4.2,1200.0,3059.0,47.0,187.0,109,74.0,41.0,3.0,4.0,11.3
192,3676,2016-05-27,24,1.273,10.3,4.2,1200.0,4003.0,53.0,188.0,101,69.0,59.0,3.0,4.0,12.5
193,3677,2016-05-28,26,1.286,15.4,4.1,1700.0,4580.0,49.0,188.0,107,70.0,79.0,3.0,3.0,11.9
194,3678,2016-05-28,23,1.275,10.1,4.2,1200.0,3897.0,54.0,189.0,97,63.0,83.0,4.0,4.0,12.9
195,3679,2016-05-28,25,1.312,11.6,4.3,1300.0,3825.0,52.0,190.0,108,65.0,79.0,4.0,4.0,12.1
196,3680,2016-05-28,22,1.292,10.6,4.3,1300.0,3683.0,57.0,187.0,95,58.0,85.0,4.0,4.0,13.1
197,3681,2016-05-28,29,1.574,13.2,4.4,1500.0,3505.0,54.0,192.0,128,54.0,84.0,4.0,4.0,12.2
198,3682,2016-05-28,22,1.233,9.3,4.2,1100.0,4527.0,54.0,188.0,92,71.0,43.0,4.0,5.0,13.1
199,3683,2016-05-28,22,1.23,12.6,4.0,1600.0,4205.0,55.0,188.0,88,70.0,53.0,4.0,4.0,13.9
200,3684,2016-05-28,22,1.235,10.7,4.2,1300.0,3428.0,55.0,187.0,92,60.0,60.0,4.0,4.0,13.1
201,3685,2016-05-28,23,1.235,13.0,3.9,1600.0,3622.0,52.0,189.0,90,65.0,62.0,3.0,4.0,13.2
202,3686,2016-05-29,26,1.271,14.9,3.9,1700.0,3955.0,48.0,190.0,101,72.0,57.0,3.0,3.0,12.4
203,3687,2016-05-29,24,1.29,12.7,3.9,1600.0,3916.0,53.0,190.0,94,78.0,55.0,3.0,4.0,13.6
204,3688,2016-05-29,26,1.265,13.2,3.9,1500.0,4377.0,48.0,187.0,101,66.0,73.0,3.0,4.0,12.3
205,3689,2016-05-29,29,1.428,12.3,3.9,1400.0,3971.0,48.0,190.0,113,58.0,80.0,4.0,4.0,12.3
206,3690,2016-05-29,28,1.392,9.1,4.2,1000.0,4210.0,50.0,188.0,118,54.0,74.0,4.0,5.0,11.7
207,3691,2016-05-29,26,1.137,14.7,3.9,1500.0,4756.0,43.0,190.0,101,68.0,64.0,4.0,3.0,10.9
208,3692,2016-05-29,28,1.261,12.2,3.9,1300.0,4563.0,45.0,189.0,109,72.0,79.0,4.0,4.0,11.4
209,3693,2016-05-30,27,1.269,14.3,3.9,1600.0,5171.0,47.0,190.0,105,81.0,72.0,4.0,3.0,11.9
210,3694,2016-05-30,32,1.377,14.7,3.9,1500.0,6626.0,43.0,188.0,125,83.0,73.0,4.0,3.0,11.1
211,3695,2016-05-31,45,1.23,9.9,3.1,800.0,4254.0,27.0,190.0,140,74.0,71.0,4.0,4.0,8.6
212,3696,2016-05-31,24,1.183,12.9,4.1,1400.0,3685.0,48.0,191.0,98,53.0,60.0,4.0,4.0,11.7
1,3697,2016-01-06,38,1.439,11.2,3.2,1200.0,3215.0,37.0,190.0,122,74.0,80.0,4.0,4.0,11.6
2,3698,2016-01-06,30,1.224,11.0,3.7,1100.0,2316.0,40.0,187.0,111,60.0,52.0,4.0,4.0,10.7
3,3699,2016-01-06,32,1.219,11.9,3.5,1200.0,2418.0,38.0,189.0,112,45.0,39.0,4.0,4.0,10.8
4,3700,2016-01-06,30,1.221,10.7,3.6,1100.0,2827.0,40.0,190.0,108,61.0,45.0,4.0,4.0,11.1
5,3701,2016-01-06,26,1.205,11.6,3.8,1300.0,3024.0,46.0,189.0,99,63.0,52.0,4.0,4.0,12.0
6,3702,2016-02-06,25,1.296,10.9,3.9,1300.0,2885.0,50.0,192.0,98,44.0,40.0,4.0,4.0,13.1
7,3703,2016-02-06,26,1.294,12.0,3.8,1400.0,3096.0,48.0,188.0,99,58.0,60.0,4.0,4.0,12.5
8,3704,2016-02-06,27,1.3,10.3,3.8,1200.0,3240.0,48.0,188.0,103,40.0,53.0,4.0,4.0,12.6
9,3705,2016-02-06,30,1.714,10.5,4.2,1300.0,3068.0,56.0,188.0,126,30.0,44.0,4.0,4.0,13.2
10,3706,2016-02-06,31,1.512,9.2,3.8,1100.0,3030.0,49.0,188.0,118,39.0,56.0,4.0,5.0,13.0
11,3707,2016-02-06,28,1.526,10.4,4.0,1300.0,2874.0,54.0,189.0,112,56.0,61.0,4.0,4.0,13.5
12,3708,2016-02-06,25,1.501,9.4,4.2,1200.0,2628.0,58.0,189.0,105,57.0,49.0,4.0,5.0,13.7
13,3709,2016-02-06,21,1.243,9.4,4.2,1200.0,1978.0,58.0,191.0,88,42.0,37.0,4.0,5.0,13.7
14,3710,2016-03-06,24,1.269,9.7,3.9,1200.0,1502.0,52.0,187.0,94,33.0,31.0,4.0,4.0,13.6
15,3711,2016-03-06,29,1.512,11.2,3.8,1400.0,1937.0,51.0,189.0,110,30.0,31.0,4.0,4.0,13.2
16,3712,2016-03-06,30,1.537,14.4,4.0,1700.0,2257.0,51.0,188.0,120,33.0,34.0,4.0,3.0,12.7
17,3713,2016-03-06,32,1.659,13.3,4.2,1500.0,2434.0,51.0,188.0,134,40.0,40.0,4.0,4.0,12.2
18,3714,2016-03-06,29,1.533,13.0,4.0,1600.0,3750.0,53.0,186.0,116,56.0,54.0,4.0,4.0,13.1
19,3715,2016-03-06,29,1.237,14.6,3.8,1500.0,3588.0,42.0,189.0,110,53.0,54.0,4.0,3.0,10.9
20,3716,2016-04-06,25,1.255,12.5,3.7,1500.0,3799.0,48.0,190.0,93,75.0,77.0,4.0,4.0,13.1
21,3717,2016-04-06,28,1.256,13.6,3.7,1500.0,3722.0,44.0,185.0,104,69.0,60.0,4.0,3.0,11.9
22,3718,2016-04-06,22,1.032,15.6,3.7,1800.0,3562.0,46.0,187.0,81,55.0,54.0,4.0,3.0,12.4
23,3719,2016-04-06,60,1.132,29.5,4.0,1300.0,3263.0,19.0,189.0,240,45.0,45.0,4.0,2.0,4.7
24,3720,2016-04-06,30,1.222,12.0,3.7,1200.0,3139.0,40.0,188.0,111,34.0,32.0,4.0,4.0,10.8
25,3721,2016-04-06,28,1.23,11.4,3.7,1200.0,3048.0,42.0,190.0,104,33.0,32.0,4.0,4.0,11.6
26,3722,2016-04-06,28,1.227,9.3,3.7,1000.0,2850.0,43.0,188.0,104,32.0,34.0,4.0,5.0,11.6
27,3723,2016-04-06,26,1.237,9.6,3.8,1100.0,2935.0,47.0,187.0,99,31.0,33.0,4.0,4.0,12.4
28,3724,2016-04-06,26,1.221,8.7,3.8,1000.0,2791.0,47.0,187.0,99,32.0,31.0,4.0,5.0,12.4
29,3725,2016-05-06,28,1.523,11.1,3.9,1400.0,2755.0,53.0,186.0,109,31.0,31.0,4.0,4.0,13.7
30,3726,2016-05-06,28,1.531,11.2,4.0,1400.0,2663.0,54.0,189.0,112,30.0,30.0,4.0,4.0,13.6
31,3727,2016-05-06,31,1.408,13.1,3.9,1400.0,2917.0,45.0,188.0,121,30.0,30.0,4.0,4.0,11.6
32,3728,2016-05-06,15,0.301,19.9,3.9,900.0,2137.0,19.0,190.0,59,30.0,30.0,4.0,2.0,5.0
33,3729,2016-05-06,35,1.523,11.4,3.4,1300.0,2968.0,42.0,187.0,119,30.0,30.0,4.0,4.0,12.5
34,3730,2016-05-06,33,1.421,11.9,3.3,1400.0,3749.0,42.0,189.0,109,44.0,35.0,4.0,4.0,12.5
35,3731,2016-05-06,39,1.52,12.0,3.1,1400.0,3897.0,39.0,190.0,121,65.0,48.0,4.0,4.0,12.4
36,3732,2016-05-06,35,1.529,15.0,3.6,1700.0,3787.0,44.0,190.0,126,44.0,33.0,4.0,3.0,12.3
37,3733,2016-05-06,33,1.534,14.4,3.6,1700.0,3969.0,46.0,188.0,119,50.0,41.0,4.0,3.0,12.7
38,3734,2016-05-06,32,1.252,23.1,3.8,2200.0,6260.0,39.0,188.0,122,46.0,48.0,4.0,2.0,10.1
39,3735,2016-06-06,36,1.31,36.0,4.0,3000.0,8949.0,36.0,190.0,144,37.0,43.0,4.0,2.0,8.9
40,3736,2016-06-06,46,1.461,40.4,4.0,2900.0,9744.0,31.0,212.0,184,36.0,39.0,4.0,2.0,7.8
41,3737,2016-06-06,46,1.223,45.3,5.2,2100.0,7998.0,26.0,214.0,239,38.0,38.0,4.0,2.0,5.1
42,3738,2016-06-06,36,1.22,37.0,5.4,2100.0,6903.0,33.0,218.0,194,43.0,41.0,4.0,2.0,6.2
43,3739,2016-06-06,31,1.247,22.0,4.3,1900.0,4361.0,40.0,216.0,133,47.0,44.0,4.0,2.0,9.5
44,3740,2016-07-06,25,0.928,17.5,4.3,1400.0,3791.0,37.0,188.0,108,49.0,45.0,4.0,2.0,8.7
45,3741,2016-07-06,34,1.068,18.5,3.8,1400.0,3795.0,31.0,188.0,129,45.0,39.0,4.0,2.0,8.2
46,3742,2016-07-06,29,1.104,15.8,3.7,1500.0,4390.0,38.0,188.0,107,43.0,34.0,4.0,3.0,10.1
47,3743,2016-07-06,29,1.239,14.3,3.7,1500.0,4056.0,42.0,187.0,107,75.0,39.0,4.0,3.0,11.3
48,3744,2016-07-06,26,1.132,16.6,3.9,1700.0,3887.0,43.0,188.0,101,75.0,44.0,4.0,3.0,11.2
49,3745,2016-07-06,28,1.247,12.4,3.6,1400.0,3723.0,44.0,188.0,101,70.0,58.0,4.0,4.0,12.1
50,3746,2016-08-06,37,1.759,12.5,3.9,1400.0,3730.0,47.0,187.0,144,50.0,46.0,4.0,4.0,11.9
51,3747,2016-08-06,19,0.822,12.1,3.7,1300.0,3629.0,43.0,188.0,70,39.0,37.0,4.0,4.0,11.8
52,3748,2016-08-06,28,1.23,14.6,3.5,1700.0,3553.0,44.0,189.0,98,45.0,49.0,4.0,3.0,12.6
53,3749,2016-08-06,28,1.205,13.2,3.5,1500.0,3253.0,43.0,189.0,98,29.0,35.0,4.0,4.0,12.4
54,3750,2016-08-06,38,1.735,9.2,3.5,1100.0,3006.0,45.0,190.0,133,30.0,33.0,4.0,5.0,13.0
55,3751,2016-08-06,15,0.742,9.4,3.7,1100.0,3065.0,47.0,189.0,56,33.0,36.0,4.0,5.0,12.9
56,3752,2016-09-06,33,1.531,11.5,3.5,1400.0,2871.0,46.0,190.0,116,31.0,32.0,4.0,4.0,13.0
57,3753,2016-09-06,30,1.514,10.3,3.9,1200.0,2846.0,49.0,187.0,117,32.0,31.0,4.0,4.0,12.5
58,3754,2016-09-06,27,1.538,8.3,4.2,1000.0,3059.0,55.0,190.0,113,35.0,50.0,3.0,5.0,13.3
59,3755,2016-09-06,34,1.481,10.5,3.8,1100.0,2736.0,43.0,192.0,129,37.0,38.0,3.0,4.0,11.3
60,3756,2016-10-06,32,1.509,11.4,3.3,1500.0,2849.0,47.0,189.0,106,42.0,42.0,3.0,4.0,13.9
61,3757,2016-10-06,31,1.522,10.3,3.8,1200.0,3086.0,48.0,189.0,118,56.0,54.0,3.0,4.0,12.6
62,3758,2016-10-06,27,1.408,11.8,3.8,1500.0,3396.0,52.0,190.0,103,45.0,46.0,3.0,4.0,13.6
63,3759,2016-10-06,26,1.168,10.9,3.7,1200.0,3694.0,44.0,189.0,96,54.0,64.0,3.0,4.0,11.6
64,3760,2016-10-06,26,1.264,13.2,4.2,1400.0,4496.0,48.0,189.0,109,56.0,68.0,3.0,4.0,11.5
65,3761,2016-10-06,27,1.312,12.2,4.5,1200.0,4335.0,48.0,189.0,122,54.0,63.0,3.0,4.0,10.6
66,3762,2016-10-06,26,1.22,9.1,4.4,900.0,4470.0,47.0,187.0,114,81.0,72.0,3.0,5.0,10.5
67,3763,2016-11-06,26,1.225,15.1,4.3,1500.0,4712.0,46.0,187.0,112,69.0,44.0,4.0,3.0,10.5
68,3764,2016-11-06,35,1.415,13.0,4.1,1200.0,3985.0,41.0,189.0,144,58.0,56.0,4.0,4.0,9.9
69,3765,2016-11-06,28,1.21,11.1,4.0,1100.0,3891.0,43.0,189.0,112,65.0,72.0,4.0,4.0,10.5
70,3766,2016-11-06,26,1.235,13.2,4.2,1400.0,3771.0,48.0,188.0,109,72.0,70.0,4.0,4.0,11.2
71,3767,2016-11-06,27,1.243,10.1,3.9,1100.0,3505.0,46.0,189.0,105,60.0,59.0,4.0,4.0,11.7
72,3768,2016-11-06,26,1.247,9.2,4.1,1000.0,3459.0,48.0,188.0,107,50.0,58.0,4.0,5.0,11.6
73,3769,2016-11-06,26,1.225,10.7,3.8,1200.0,3475.0,46.0,188.0,99,53.0,55.0,4.0,4.0,11.9
74,3770,2016-12-06,27,1.225,9.6,4.0,1000.0,3577.0,45.0,188.0,108,61.0,68.0,4.0,4.0,11.4
75,3771,2016-12-06,26,1.236,12.2,4.0,1300.0,4125.0,46.0,190.0,104,72.0,52.0,4.0,4.0,11.6
76,3772,2016-12-06,31,1.486,9.9,4.0,1100.0,3937.0,48.0,190.0,124,56.0,46.0,4.0,4.0,12.0
77,3773,2016-12-06,28,1.274,9.8,4.1,1000.0,3299.0,45.0,189.0,115,63.0,68.0,4.0,4.0,11.0
78,3774,2016-12-06,27,1.285,14.1,4.1,1500.0,3781.0,47.0,190.0,111,53.0,72.0,4.0,3.0,11.5
79,3775,2016-12-06,25,1.276,12.7,4.2,1400.0,4311.0,50.0,188.0,105,66.0,75.0,4.0,4.0,12.0
80,3776,2016-12-06,36,1.756,13.2,5.0,1200.0,5360.0,49.0,189.0,180,77.0,73.0,4.0,4.0,9.8
81,3777,2016-06-13,14,0.745,9.6,4.6,1000.0,3703.0,52.0,188.0,64,55.0,58.0,4.0,4.0,11.3
82,3778,2016-06-13,31,1.526,12.3,4.3,1300.0,3644.0,49.0,189.0,133,50.0,53.0,4.0,4.0,11.4
83,3779,2016-06-13,26,1.25,9.2,4.0,1000.0,3492.0,47.0,187.0,104,67.0,62.0,4.0,5.0,11.7
